GraphNumber,VertexNumber,EdgeNumber,PermutationOpCount,DFSv1OpCount,DFSv2OpCount
17,19,35,0,1162818,6744024
18,20,37,0,5554368,33211278
19,21,39,0,3712842,18982080
20,22,41,0,3975880,19091884
21,23,43,0,15432530,93439067
22,24,45,0,19957856,99887081
23,25,47,0,32504054,153435650
24,26,49,0,47864984,253833044
25,27,51,0,243667090,1376813134
26,28,53,0,154032376,821992720
